Authors,Article Title,Publication Year,Species,n traditional ,n edna,Prob.Trad,Pos.Trad,Prob.eDNA,Pos.eDNA,Total.eDNA.Samples (units are day*site samples),Total.Pos.eDNA.Samples,eDNA.Detection.Percentage (based off total number of samples taken) ,Total.Trad.Samples (units are day*trap),Total.Pos.Trad.Samples,Trad.Detection.Percentage (based off total number of samples taken) ,Notes,logRR,Calc.Vari.eDNA.Site,Calc.Vari.Trad.Site,Calc.Vari.eDNA.TotalSamp,Calc.Vari.Trad.TotalSamp,Genetic Markers ,Collection Methods eDNA,Collection Methods Trad,Methods,Traditional Cost,eDNA  Cost,Organism Type
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,D. bugensis,6,6,0,0,0,0,36,0,0,36,0,0,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,#DIV/0!,0,0,,,Cytochrome b,Water filter ,Visual,Active,NA,NA,Mollusc
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,D. polymorpha,6,6,0,0,0,0,36,0,0,36,0,0,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,#DIV/0!,0,0,,,Cytochrome b,Water filter ,Visual,Active,NA,NA,Mollusc
Shelton_ AO; Kelly_ RP; O'Donnell_ JL; Park_ L; Schwenke_ P; Greene_ C; Henderson_ RA; Beamer_ EM,Environmental DNA provides quantitative estimates of a threatened salmon species,1-Sep-19,O. tshawytsha,38,38,0.815789474,31,1,38,155,138,0.89,76,48,0.63,values are from paper ,0.088421903,0,0.15,,,COIII/ND3,Water filter ,Seine,Active,NA,NA,Fish
Cangelosi_ A; Balcer_ M; Prihoda_ K; Gruwell_ M; TenEyck_ M; Aicher_ R; Lopez-Camacho_ Y; Knight_ IT; Grey_ EK,Evaluation of eDNA qPCR monitoring as an early detection tool for a non-native mysid in Great Lakes Waters,1-Aug-24,H. anomala,9,9,0.555555556,5,0.67,6,57,20,0.35,38,14,0.37,2 net hauls_ 3 eDNA replicates- data received from authors,0.079181246,0.22,0.25,,,COI,Water filter ,Net Hauling,Active,NA,NA,Crustacean
Shaffer_ JT; Kinziger_ AP; Bjorkstedt_ EP; Buchheister_ A,Comparison of environmental DNA and underwater visual count surveys for detecting juvenile Coho Salmon in small rivers,1-Apr-24,O. kisutch ,96,96,0.927083333,89,0.93,89,286,200,0.7,192,58,0.3,3 eDNA replicates_ 2 divers at each pool (96)_ each had perfect agreement according to authors and had 30% detection ,0,0.07,0.07,,,Cytochrome b,Water filter ,Visual ,Active,NA,NA,Fish
Robinson_ AT; Paroz_ YM; Clement_ MJ; Franklin_ TW; Dysthe_ JC; Young_ MK; McKelvey_ KS; Carim_ KJ,Environmental DNA Sampling of Small-Bodied Minnows: Performance Relative to Location_ Species_ and Traditional Sampling,1-Oct-19,R. cobitis,15,15,0.733333333,11,0.8,12,15,12,0.8,30,,0,2 netters for electrosihing in one pass_ 1 edna sample from each location,0.037788561,0.16,0.2,,,Cytochrome b,Water filter ,Electrofishing/ seine,Active,NA,NA,Fish
Robinson_ AT; Paroz_ YM; Clement_ MJ; Franklin_ TW; Dysthe_ JC; Young_ MK; McKelvey_ KS; Carim_ KJ,Environmental DNA Sampling of Small-Bodied Minnows: Performance Relative to Location_ Species_ and Traditional Sampling,1-Oct-19,M. fulgida,12,12,0.666666667,8,0.92,11,12,11,0.92,24,,0,2 netters for electrosihing in one pass_ 1 edna sample from each location,0.138302698,0.08,0.22,,,Cytochrome b,Water filter ,Electrofishing/ seine,Active,NA,NA,Fish
Robinson_ AT; Paroz_ YM; Clement_ MJ; Franklin_ TW; Dysthe_ JC; Young_ MK; McKelvey_ KS; Carim_ KJ,Environmental DNA Sampling of Small-Bodied Minnows: Performance Relative to Location_ Species_ and Traditional Sampling,1-Oct-19,R. cobitis,18,18,0.611111111,11,0.78,14,18,14,0.78,18,11,0.61,1 pass,0.104735351,0.17,0.24,,,Cytochrome b,Water filter ,Seining,Active,NA,NA,Fish
Robinson_ AT; Paroz_ YM; Clement_ MJ; Franklin_ TW; Dysthe_ JC; Young_ MK; McKelvey_ KS; Carim_ KJ,Environmental DNA Sampling of Small-Bodied Minnows: Performance Relative to Location_ Species_ and Traditional Sampling,1-Oct-19,M. fulgida,18,18,0.388888889,7,0.61,11,18,11,0.61,18,7,0.39,1 pass,0.196294645,0.24,0.24,,,Cytochrome b,Water filter ,Seining,Active,NA,NA,Fish
Katano_ I; Harada_ K; Doi_ H; Souma_ R; Minamoto_ T,Environmental DNA method for estimating salamander distribution in headwater streams_ and a comparison of water sampling methods,1-May-17,O. japonicus,18,18,0.333333333,6,0.56,10,18,10,0.56,18,6,0.33,one person performed capture survey ,0.22184875,0.25,0.22,,,12s,Water filter ,Hand capture ,Active,NA,eDNA is more cost effecient ,Amphibian 
Budnick_ WR; Hayes_ D; Herbst_ S; Kanefsky_ J; Nathan_ L; Roth_ BM; Sard_ NM; Scribner_ KT; Smith_ K; Thomas_ S,Factors influencing detection of invasive Red Swamp Crayfish Procambarus clarkii (Girard_ 1852) in Michigan ponds,1-Jun-24,P. clarkii,64,64,0.1875,12,0.16,10,64,10,0.16,email sent,,#VALUE!,one eDNA sample at each site ,-0.079181246,0.13,0.15,,,16s,Water filter ,Trap,Passive,NA,NA,Crustacean
Blackman_ RC; Ling_ KKS; Harper_ LR; Shum_ P; Hänfling_ B; Lawson-Handley_ L,Targeted and passive environmental DNA approaches outperform established methods for detection of quagga mussels_ Dreissena rostriformis bugensis in flowing water,1-Dec-20,D. bugensis,18,18,0.333333333,6,1,18,54,54,1,18,6,0.33,3 eDNA replicates at the 18 sites between 3 location s_,0.477121255,0,0.22,,,COI,Water Filter,Kick Net,Active,NA,NA,Mollusc
Blackman_ RC; Ling_ KKS; Harper_ LR; Shum_ P; Hänfling_ B; Lawson-Handley_ L,Targeted and passive environmental DNA approaches outperform established methods for detection of quagga mussels_ Dreissena rostriformis bugensis in flowing water,1-Dec-20,D. bugensis,18,18,0.333333333,6,1,18,54,54,1,18,6,0.33,,0.477121255,0,0.22,,,COI,Water Filter,Kick Net,Active,NA,NA,Mollusc
Blackman_ RC; Ling_ KKS; Harper_ LR; Shum_ P; Hänfling_ B; Lawson-Handley_ L,Targeted and passive environmental DNA approaches outperform established methods for detection of quagga mussels_ Dreissena rostriformis bugensis in flowing water,1-Dec-20,D. bugensis,18,18,0.333333333,6,0.83,15,54,39,0.72,18,6,0.33,,0.397940009,0.14,0.22,,,COI,Water Filter,Kick Net,Active,NA,NA,Mollusc
Takahara_ T; Iwai_ N; Yasumiba_ K; Igawa_ T,Comparison of the detection of 3 endangered frog species by eDNA and acoustic surveys across 3 seasons,1-Mar-20,B. subaspera,26,26,0.153846154,4,0.23,6,78,7,0.09,416,email sent ,#VALUE!,1 eDNA sample per site per season (3 seasons)_ voice recordings every night for 3 minutes during speicif seasons t each site ,0.176091259,0.18,0.13,,,ND5,Water Filter,Voice Recording ,Passive,NA,NA,Amphibian
Takahara_ T; Iwai_ N; Yasumiba_ K; Igawa_ T,Comparison of the detection of 3 endangered frog species by eDNA and acoustic surveys across 3 seasons,1-Mar-20,O. splendida,26,26,0.269230769,7,0.15,4,78,4,0.05,364,,0,1 eDNA sample per site per season (3 seasons)_ voice recordings every night for 3 minutes during speicif seasons t each site ,-0.243038049,0.13,0.2,,,ND5,Water Filter,Voice Recording ,Passive,NA,NA,Amphibian
Takahara_ T; Iwai_ N; Yasumiba_ K; Igawa_ T,Comparison of the detection of 3 endangered frog species by eDNA and acoustic surveys across 3 seasons,1-Mar-20,O. amamiensis,26,26,0.346153846,9,0.58,15,78,23,0.29,624,,0,1 eDNA sample per site per season (3 seasons)_ voice recordings every night for 3 minutes during speicif seasons t each site ,0.22184875,0.24,0.23,,,ND5,Water Filter,Voice Recording ,Passive,NA,NA,Amphibian
Piggott_ MP; Banks_ SC; Broadhurst_ BT; Fulton_ CJ; Lintermans_ M,Comparison of traditional and environmental DNA survey methods for detecting rare and abundant freshwater fish,1-Jan-21,O. mykiss,7,7,0.571428571,4,1,7,24,24,1,63,email sent ,#VALUE!,3 eDNA replicates from each site plus 2 locations at 1 site_ 12 nets at river sites_ 2 nights of netting at reservoirs,0.243038049,0,0.24,,,Cytochrome b,Water Filter,Fyke  Nets,Passive,NA,NA,Fish
Piggott_ MP; Banks_ SC; Broadhurst_ BT; Fulton_ CJ; Lintermans_ M,Comparison of traditional and environmental DNA survey methods for detecting rare and abundant freshwater fish,1-Jan-21,O. mykiss,5,5,0.8,4,1,5,15,15,1,20,,0,3 enda replicates_ 4 30 m sections,0.096910013,0,0.16,,,Cytochrome b,Water Filter,Electrofishing ,Active,NA,NA,Fish
Piggott_ MP; Banks_ SC; Broadhurst_ BT; Fulton_ CJ; Lintermans_ M,Comparison of traditional and environmental DNA survey methods for detecting rare and abundant freshwater fish,1-Jan-21,O. mykiss,2,2,0.5,1,1,2,9,9,1,7,,0,3 eDNA replicates plus 2 locations at 1 site_ 7 nights in total gil netting ,0.301029996,0,0.25,,,Cytochrome b,Water Filter,gill netting ,Passive,NA,NA,Fish
Piggott_ MP; Banks_ SC; Broadhurst_ BT; Fulton_ CJ; Lintermans_ M,Comparison of traditional and environmental DNA survey methods for detecting rare and abundant freshwater fish,1-Jan-21,M. australasica ,7,7,0.571428571,4,1,7,24,22,0.92,63,,0,3 eDNA replicates from each site plus 2 locations at 1 site_ 12 nets at river sites_ 2 nights of netting at reservoirs,0.243038049,0,0.24,,,Cytochrome b,Water Filter,Fyke  Nets,Passive,NA,NA,Fish
Piggott_ MP; Banks_ SC; Broadhurst_ BT; Fulton_ CJ; Lintermans_ M,Comparison of traditional and environmental DNA survey methods for detecting rare and abundant freshwater fish,1-Jan-21,M. australasica ,5,5,0,0,1,5,15,15,1,20,,0,3 enda replicates_ 4 30 m sections,#DIV/0!,0,0,,,Cytochrome b,Water Filter,Electrofishing ,Active,NA,NA,Fish
Piggott_ MP; Banks_ SC; Broadhurst_ BT; Fulton_ CJ; Lintermans_ M,Comparison of traditional and environmental DNA survey methods for detecting rare and abundant freshwater fish,1-Jan-21,M. australasica ,2,2,0.5,1,1,2,9,7,0.78,7,,0,3 eDNA replicates plus 2 locations at one site_ 7 nights in total gil netting ,0.301029996,0,0.25,,,Cytochrome b,Water Filter,gill netting ,Passive,NA,NA,Fish
Penaluna_ BE; Allen_ JM; Arismendi_ I; Levi_ T; Garcia_ TS; Walter_ JK,Better boundaries: identifying the upper extent of fish distributions in forested streams using eDNA and electrofishing,1-Jan-21,O. clarkii,60,60,0.883333333,53,0.9,54,1409,864,0.61,60,53,0.88,single pass electrofishing- 3 edna replicates at 8 locations for most sites- looked at available data,0.00811789,0.09,0.1,,,COI,Water Filter,Electrofishing ,Active,NA,NA,Fish
Blackman_ RC; Benucci_ M; Donnelly_ RC; Hänfling_ B; Harper_ LR; Sellers_ GS; Handley_ LL,Simple_ sensitive and species-specific assays for detecting quagga and zebra mussels (Dreissena rostriformis bugensis and D. polymorpha) using environmental DNA,1-Jun-20,D.  bugensis,3,3,1,3,1,3,54,54,1,18,6,0.33,54 eDNA samples_ one 3 min kicknet at each of the 6 location from 3 rivers ,0,0,0,,,COI,Water Filter,Kick Net,Active,NA,NA,Mollusc
Blackman_ RC; Benucci_ M; Donnelly_ RC; Hänfling_ B; Harper_ LR; Sellers_ GS; Handley_ LL,Simple_ sensitive and species-specific assays for detecting quagga and zebra mussels (Dreissena rostriformis bugensis and D. polymorpha) using environmental DNA,1-Jun-20,D. polymorpha,3,3,0.333333333,1,1,3,54,29,0.54,18,2,0.11,54 eDNA samples_ 6 kicknets at each site (18),0.477121255,0,0.22,,,COI,Water Filter,Kick Net,Active,NA,NA,Mollusc
Biggs_ J; Ewald_ N; Valentini_ A; Gaboriaud_ C; Dejean_ T; Griffiths_ RA; Foster_ J; Wilkinson_ JW; Arnell_ A; Brotherton_ P; Williams_ P; Dunn_ F,Using eDNA to develop a national citizen science-based monitoring programme for the great crested newt (Triturus cristatus),1-Mar-15,T. cristatus,140,140,0.75,105,0.99,139,140,139,0.99,140,105,0.75,1 pass for torch counting_ 1 eDNA sample ,0.121825501,0.01,0.19,,,Cytochrome b,Water Filter,torch counting ,Active,€1450/site,€140/site,Amphibian
Biggs_ J; Ewald_ N; Valentini_ A; Gaboriaud_ C; Dejean_ T; Griffiths_ RA; Foster_ J; Wilkinson_ JW; Arnell_ A; Brotherton_ P; Williams_ P; Dunn_ F,Using eDNA to develop a national citizen science-based monitoring programme for the great crested newt (Triturus cristatus),1-Mar-15,T. cristatus,140,140,0.757142857,106,0.99,139,140,139,0.99,email sent ,,#VALUE!,multiple traps at each pond ,0.117708935,0.01,0.18,,,Cytochrome b,Water Filter,bottlie trapping ,Passive,€1450/site,€140/site,Amphibian
Biggs_ J; Ewald_ N; Valentini_ A; Gaboriaud_ C; Dejean_ T; Griffiths_ RA; Foster_ J; Wilkinson_ JW; Arnell_ A; Brotherton_ P; Williams_ P; Dunn_ F,Using eDNA to develop a national citizen science-based monitoring programme for the great crested newt (Triturus cristatus),1-Mar-15,T. cristatus,140,140,0.442857143,62,0.99,139,140,139,0.99,140,62,0.44,eggs were observed as they were working,0.350623111,0.01,0.25,,,Cytochrome b,Water Filter,egg counting ,Active,€1450/site,€140/site,Amphibian
Hinlo_ R; Furlan_ E; Suitor_ L; Gleeson_ D,Environmental DNA monitoring and management of invasive fish: comparison of eDNA and fyke netting,1-Mar-17,C. carpio,8,8,1,8,1,8,45,email sent ,#VALUE!,72,,0,9 nets_ 6 eDNA samples at each site_ except 1 had 5,0,0,0,,,12s,Water Filter,Fyke net,Passive,NA,NA,Fish
Hinlo_ R; Furlan_ E; Suitor_ L; Gleeson_ D,Environmental DNA monitoring and management of invasive fish: comparison of eDNA and fyke netting,1-Mar-17,P. fluviatilis,8,8,0.125,1,0.25,2,45,,0,72,,0,9 nets_ 6 eDNA samples at each site_ except 1 had 5,0.301029996,0.19,0.11,,,12s,Water Filter,Fyke net,Passive,NA,NA,Fish
Hinlo_ R; Furlan_ E; Suitor_ L; Gleeson_ D,Environmental DNA monitoring and management of invasive fish: comparison of eDNA and fyke netting,1-Mar-17,M. anguilicaudatus,8,8,0.25,2,0.88,7,45,,0,72,,0,9 nets_ 6 eDNA samples at each site_ except 1 had 5,0.544068044,0.11,0.19,,,12s,Water Filter,Fyke net,Passive,NA,NA,Fish
Smart_ AS; Tingley_ R; Weeks_ AR; van Rooyen_ AR; McCarthy_ MA,Environmental DNA sampling is more sensitive than a traditional survey technique for detecting an aquatic invader,1-Oct-15,L. vulgaris,7,7,0.857142857,6,0.86,6,152,email sent ,#VALUE!,1232,,0,11 traps at each site for 4 days each month for 4 months_ 3 edna samples twice a month for 4 months except 1 site only had 1 sample taken,0,0.12,0.12,,,Cytochrome b,Water Filter,bottle traps,Passive,NA,NA,Amphibian
Todd_ JH; S93:134impson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,T. brevifacies,10,10,0.2,2,0.1,1,10,1,0.1,50,a,#VALUE!,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),-0.301029996,0.09,0.16,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,T. brevifacies,10,10,0.7,7,0,0,10,0,0,50,they don’t have this data. They accumulated all the species on each trap into one value ,#VALUE!,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),#NUM!,0,0.21,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; S93:134impson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,T. brevifacies,10,10,0.2,2,0.1,1,10,1,0.1,50,a,#VALUE!,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),-0.301029996,0.09,0.16,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,T. brevifacies,10,10,0.7,7,0,0,10,0,0,50,,0,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),#NUM!,0,0.21,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; S93:134impson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,T. brevifacies,10,10,0.2,2,0.1,1,10,1,0.1,50,a,#VALUE!,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),-0.301029996,0.09,0.16,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,T. brevifacies,10,10,0.7,7,0,0,10,0,0,50,,0,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),#NUM!,0,0.21,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; S93:134impson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,T. brevifacies,10,10,0.2,2,0.1,1,10,1,0.1,50,a,#VALUE!,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),-0.301029996,0.09,0.16,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,T. brevifacies,10,10,0.7,7,0,0,10,0,0,50,,0,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),#NUM!,0,0.21,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Nylanderia sp(p),10,10,0.8,8,0.2,2,10,2,0.2,50,a,#VALUE!,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),-0.602059991,0.16,0.16,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Nylanderia sp(p),10,10,0.2,2,0,0,10,0,0,50,,0,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),#NUM!,0,0.16,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Nylanderia sp(p),10,10,0.8,8,0.2,2,10,2,0.2,50,a,#VALUE!,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),-0.602059991,0.16,0.16,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Nylanderia sp(p),10,10,0.2,2,0,0,10,0,0,50,,0,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),#NUM!,0,0.16,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Nylanderia sp(p),10,10,0.8,8,0.2,2,10,2,0.2,50,a,#VALUE!,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),-0.602059991,0.16,0.16,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Nylanderia sp(p),10,10,0.2,2,0,0,10,0,0,50,,0,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),#NUM!,0,0.16,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Nylanderia sp(p),10,10,0.8,8,0.2,2,10,2,0.2,50,a,#VALUE!,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),-0.602059991,0.16,0.16,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Nylanderia sp(p),10,10,0.2,2,0,0,10,0,0,50,,0,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),#NUM!,0,0.16,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. vulgare,10,10,0.8,8,0.1,1,10,1,0.1,50,a,#VALUE!,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),-0.903089987,0.09,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. vulgare,10,10,0,0,0,0,10,0,0,50,,0,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),#DIV/0!,0,0,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. vulgare,10,10,0.8,8,0.1,1,10,1,0.1,50,a,#VALUE!,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),-0.903089987,0.09,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. vulgare,10,10,0,0,0,0,10,0,0,50,,0,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),#DIV/0!,0,0,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. vulgare,10,10,0.8,8,0.1,1,10,1,0.1,50,a,#VALUE!,edna- 10 samples were taken but homogenized and a subset analyzed from that. 5 yellow pan traps_ 5 flight intercept traps_5 pitfall_ 5 yellow sticky cards at each orchard (10 apple and 10 pear_ 50 of each trap for each orchard type),-0.903089987,0.09,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
