Authors,Article.Title,Publication Year,Species,n traditional  = ,n edna = ,Prob.Trad,Pos.Trad,Prob.eDNA,Pos.eDNA,eDNA_samples,eDNA_pos,eDNA.Detection.Percentage.Fine ,Trad_samples,Trad_pos,Trad.Detection.Percentage.Fine,excluded,Notes,logRR,Calc.Vari.eDNA.Site,Calc.Vari.Trad.Site,Calc.Vari.eDNA.TotalSamp,Calc.Vari.Trad.TotalSamp,Genetic Markers ,Collection Methods eDNA,Collection Methods Trad,Methods,Traditional Cost,eDNA  Cost,Organism Type
Blackman_ RC; Ling_ KKS; Harper_ LR; Shum_ P; Hänfling_ B; Lawson-Handley_ L,Targeted and passive environmental DNA approaches outperform established methods for detection of quagga mussels_ Dreissena rostriformis bugensis in flowing water,1-Dec-20,D. bugensis,18,18,0.333333333,6,1,18,54,54,1,18,6,0.333333333,0,3 eDNA replicates at the 18 sites between 3 location s_,0.477121255,0,0.222222222,,,COI,Water Filter,Kick Net,Active,NA,NA,Mollusc
Blackman_ RC; Ling_ KKS; Harper_ LR; Shum_ P; Hänfling_ B; Lawson-Handley_ L,Targeted and passive environmental DNA approaches outperform established methods for detection of quagga mussels_ Dreissena rostriformis bugensis in flowing water,1-Dec-20,D. bugensis,18,18,0.333333333,6,1,18,54,54,1,18,6,0.333333333,0,,0.477121255,0,0.222222222,,,COI,Water Filter,Kick Net,Active,NA,NA,Mollusc
Blackman_ RC; Ling_ KKS; Harper_ LR; Shum_ P; Hänfling_ B; Lawson-Handley_ L,Targeted and passive environmental DNA approaches outperform established methods for detection of quagga mussels_ Dreissena rostriformis bugensis in flowing water,1-Dec-20,D. bugensis,18,18,0.333333333,6,0.833333333,15,54,39,0.722222222,18,6,0.333333333,0,,0.397940009,0.138888889,0.222222222,,,COI,Water Filter,Kick Net,Active,NA,NA,Mollusc
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,D. bugensis,6,6,0,0,0,0,36,0,0,36,0,0,0,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,#DIV/0!,0,0,,,Cytochrome b,Water filter ,Visual,Active,NA,NA,Mollusc
Blackman_ RC; Benucci_ M; Donnelly_ RC; Hänfling_ B; Harper_ LR; Sellers_ GS; Handley_ LL,Simple_ sensitive and species-specific assays for detecting quagga and zebra mussels (Dreissena rostriformis bugensis and D. polymorpha) using environmental DNA,1-Jun-20,D. polymorpha,3,3,0.333333333,1,1,3,54,29,0.537037037,18,2,0.111111111,0,54 eDNA samples_ 6 kicknets at each site (18),0.477121255,0,0.222222222,,,COI,Water Filter,Kick Net,Active,NA,NA,Mollusc
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,D. polymorpha,6,6,0,0,0,0,36,0,0,36,0,0,0,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,#DIV/0!,0,0,,,Cytochrome b,Water filter ,Visual,Active,NA,NA,Mollusc
Kim_ P; Yoon_ TJ; Shin_ S,Environmental DNA and Specific Primers for Detecting the Invasive Species Ectopleura crocea (Hydrozoa: Anthoathecata) in Seawater Samples,1-Mar-20,E. crocea,35,35,0.257142857,9,1,35,35,35,1,35,9,0.257142857,0,,0.589825535,0,0.191020408,,,COI,Water Filter,Collected,Active,NA,NA,Hydrozoan 
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,E. globulus,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pan,#NUM!,0,0.25,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,E. globulus,10,10,0.4,4,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pan,#NUM!,0,0.25,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,E. globulus,10,10,0.3,3,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 intercept,#NUM!,0,0.25,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,E. globulus,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 intercept,#NUM!,0,0.25,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Schmelzle_ MC; Kinziger_ AP,Using occupancy modelling to compare environmental DNA to traditional field methods for regional-scale monitoring of an endangered aquatic species,1-Jul-16,E. newberryi,29,29,0.482758621,14,0.620689655,18,254,153,0.602362205,254,91,0.358267717,0,sein hauling for traditional,0.109144469,0.235434007,0.249702735,,,Cytochrome b,Water Fiilter,Seining,Active,NA,NA,Fish
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,F. auricularia,10,10,0.1,1,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pitfall,#NUM!,0,0.21,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,F. auricularia,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pitfall,#NUM!,0,0.09,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,F. auricularia,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 sticky,#NUM!,0,0.21,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,F. auricularia,10,10,0.1,1,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 sticky,#NUM!,0,0.09,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,F. auricularia,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pan,#NUM!,0,0.21,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,F. auricularia,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pan,#NUM!,0,0.09,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,F. auricularia,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 intercept,#NUM!,0,0.21,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,F. auricularia,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 intercept,#NUM!,0,0.09,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Rice_ CJ; Larson_ ER; Taylor_ CA,Environmental DNA detects a rare large river crayfish but with little relation to local abundance,1-May-18,F. eupunctus,39,39,0.538461538,21,0.487179487,19,156,50,0.320512821,39,21,0.538461538,0,1 kicknet attempt_ ,-0.043465694,0.249835634,0.24852071,,,COI,Water Fiilter,kicknet,Active,NA,NA,Crustacean 
Akre_ TS; Parker_ LD; Ruther_ E; Maldonado_ JE; Lemmon_ L; Mclnerney_ NR,Concurrent visual encounter sampling validates eDNA selectivity and sensitivity for the endangered wood turtle (Glyptemys insculpta),1-Apr-19,G. insculpta,37,37,0.459459459,17,0.432432432,16,111,29,0.261261261,111,43,0.387387387,0,3 surveyors_ therfore 3x37. ,-0.026328939,0.245434624,0.248356465,,,Control Region ,Water Fiilter,Visual,Active,$275.30 (per sample),$42.56 (per sample),Reptile 
Morris_ L; Beesley_ LS; Stevens_ ER; Gwinn_ DC; Hyde_ J; Thompson_ S; Gleeson_ DB; Douglas_ MM,Active eDNA Is More Cost-Effective Than Fyke Nets or Passive eDNA Collection When Monitoring the Invasion of an Alien Freshwater Fish,1-Sep-24,G. brasiliensis,10,10,0.3,3,0.8,8,40,24,0.6,49,9,0.183673469,0,active eDNA x4 at each site_ 5 nets at each site except one (data received from authors),0.425968732,0.16,0.21,,,12s,Water Fiilter,Fyke  Nets,Passive,$60 per replicate sample,193,Fish 
Morris_ L; Beesley_ LS; Stevens_ ER; Gwinn_ DC; Hyde_ J; Thompson_ S; Gleeson_ DB; Douglas_ MM,Active eDNA Is More Cost-Effective Than Fyke Nets or Passive eDNA Collection When Monitoring the Invasion of an Alien Freshwater Fish,1-Sep-24,G. brasiliensis,10,10,0.3,3,0.5,5,40,10,0.25,49,9,0.183673469,0,passive eDNA x4 at each site_ 5 nets at each site ,0.22184875,0.25,0.21,,,12s,Water Fiilter,Fyke  Nets,Passive,$60 per replicate sample,169,Fish 
Cangelosi_ A; Balcer_ M; Prihoda_ K; Gruwell_ M; TenEyck_ M; Aicher_ R; Lopez-Camacho_ Y; Knight_ IT; Grey_ EK,Evaluation of eDNA qPCR monitoring as an early detection tool for a non-native mysid in Great Lakes Waters,1-Aug-24,H. anomala,9,9,0.555555556,5,0.666666667,6,57,20,0.350877193,38,14,0.368421053,0,2 net hauls_ 3 eDNA replicates- data received from authors,0.079181246,0.222222222,0.24691358,,,COI,Water filter ,Net Hauling,Active,NA,NA,Crustacean
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,H. versicolor,30,30,0.933333333,28,0.5,15,240,39,0.1625,162,58,0.358024691,0,not looking at any late summer data,-0.271066772,0.25,0.062222222,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,H. versicolor,29,29,0.448275862,13,0.517241379,15,232,39,0.168103448,24,15,0.625,0,not looking at any late summer data,0.062147907,0.249702735,0.247324614,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,H. versicolor,30,30,0.666666667,20,0.5,15,240,39,0.1625,96,32,0.333333333,0,not looking at any late summer data,-0.124938737,0.25,0.222222222,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Mauvisseau_ Q; Davy-Bowker_ J; Bulling_ M; Brys_ R; Neyrinck_ S; Troth_ C; Sweet_ M,Combining ddPCR and environmental DNA to improve detection capabilities of a critically endangered freshwater invertebrate,1-Oct-19,I. nubeclua,12,12,0.416666667,5,0.333333333,4,36,8,0.222222222,12,5,0.416666667,0,3 water samples from each site (ddpcr)_ 1 kicknet per site ,-0.096910013,0.222222222,0.243055556,,,COI,Water Filter,Kick Net,Active,NA,NA,Arthropod
Mauvisseau_ Q; Davy-Bowker_ J; Bulling_ M; Brys_ R; Neyrinck_ S; Troth_ C; Sweet_ M,Combining ddPCR and environmental DNA to improve detection capabilities of a critically endangered freshwater invertebrate,1-Oct-19,I. nubeclua,12,12,0.416666667,5,0,0,36,0,0,12,5,0.416666667,0,3 water samples from each site (qPCR)_ 1 kicknet per site ,#NUM!,0,0.243055556,,,COI,Water Filter,Kick Net,Active,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,L. bifurcata,10,10,0.3,3,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pan,#NUM!,0,0.25,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,L. bifurcata,10,10,0.7,7,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pan,#NUM!,0,0.09,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,L. bifurcata,10,10,0.4,4,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 intercept,#NUM!,0,0.25,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,L. bifurcata,10,10,0.6,6,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 intercept,#NUM!,0,0.09,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,L. bifurcata,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pitfall,#NUM!,0,0.25,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,L. bifurcata,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pitfall,#NUM!,0,0.09,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,L. bifurcata,10,10,0.1,1,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 sticky,#NUM!,0,0.25,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,L. bifurcata,10,10,0.2,2,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 sticky,#NUM!,0,0.09,,,COI,Soil,traps,Passive,NA,NA,Arthropod
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,L. catesbeianus,6,6,0.666666667,4,0.833333333,5,34,25,0.735294118,36,18,0.5,0,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,0.096910013,0.138888889,0.222222222,,,Cytochrome b,Water filter ,Visual,Active,NA,NA,Amphibian
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. catesbeianus,30,30,0.3,9,0.033333333,1,240,1,0.004166667,160,13,0.08125,0,not looking at any late summer data,-0.954242509,0.032222222,0.21,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. catesbeianus,29,29,0,0,0.034482759,1,232,1,0.004310345,24,0,0,0,not looking at any late summer data,#DIV/0!,0.033293698,0,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. catesbeianus,30,30,0,0,0.033333333,1,240,1,0.004166667,96,0,0,0,not looking at any late summer data,#DIV/0!,0.032222222,0,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. clamitans,30,30,0.433333333,13,1,30,240,177,0.7375,162,58,0.358024691,0,not looking at any late summer data,0.363177902,0,0.245555556,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. clamitans,29,29,0.275862069,8,1,29,232,175,0.754310345,24,10,0.416666667,0,not looking at any late summer data,0.559308011,0,0.199762188,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. clamitans,30,30,0.733333333,22,1,30,240,177,0.7375,96,32,0.333333333,0,not looking at any late summer data,0.134698574,0,0.195555556,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Randall_ LA; Goldberg_ CS; Moehenschlager_ A,Environmental DNA surveys can underestimate amphibian occupancy and overestimate detection probability: implications for practice,1-Sep-23,L. pipiens,68,68,0.279411765,19,0.161764706,11,200,20,0.1,190,42,0.221052632,0,1 ARU for 3 hours for 3 nights,-0.237360916,0.135596886,0.20134083,,,ND1,Water Fiilter,ARU,Passive,NA,NA,Amphibian 
Randall_ LA; Goldberg_ CS; Moehenschlager_ A,Environmental DNA surveys can underestimate amphibian occupancy and overestimate detection probability: implications for practice,1-Sep-23,L. pipiens,68,68,0.397058824,27,0.161764706,11,200,20,0.1,267,70,0.262172285,0,4 visual surveys at different times,-0.389971079,0.135596886,0.239403114,,,ND1,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Randall_ LA; Goldberg_ CS; Moehenschlager_ A,Environmental DNA surveys can underestimate amphibian occupancy and overestimate detection probability: implications for practice,1-Sep-23,L. pipiens,68,68,0.588235294,40,0.235294118,16,201,31,0.154228856,251,140,0.557768924,0,4 visual surveys at different times,-0.397940009,0.179930796,0.242214533,,,ND1,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. pipiens,30,30,0.733333333,22,0.8,24,240,92,0.383333333,162,37,0.228395062,0,not looking at any late summer data,0.037788561,0.16,0.195555556,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. pipiens,29,29,0.137931034,4,0.793103448,23,232,91,0.392241379,24,5,0.208333333,0,not looking at any late summer data,0.759667845,0.164090369,0.118906064,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. pipiens,30,30,0.5,15,0.8,24,240,92,0.383333333,96,19,0.197916667,0,not looking at any late summer data,0.204119983,0.16,0.25,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. septentrionalis,29,30,0.068965517,2,0.3,9,240,11,0.045833333,162,4,0.024691358,0,not looking at any late summer data,0.638489257,0.21,0.064209275,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. septentrionalis,29,29,0,0,0.275862069,8,232,10,0.043103448,24,0,0,0,not looking at any late summer data,#DIV/0!,0.199762188,0,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. septentrionalis,30,30,0,0,0.3,9,240,11,0.045833333,96,0,0,0,not looking at any late summer data,#DIV/0!,0.21,0,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Smart_ AS; Tingley_ R; Weeks_ AR; van Rooyen_ AR; McCarthy_ MA,Environmental DNA sampling is more sensitive than a traditional survey technique for detecting an aquatic invader,1-Oct-15,L. vulgaris,7,7,0.857142857,6,0.857142857,6,152,email sent ,#VALUE!,1232,email sent ,#VALUE!,1,11 traps at each site for 4 days each month for 4 months_ 3 edna samples twice a month for 4 months except 1 site only had 1 sample taken,0,0.12244898,0.12244898,,,Cytochrome b,Water Filter,bottle traps,Passive,NA,NA,Amphibian
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. ylvaticus,30,30,0.266666667,8,0.566666667,17,240,64,0.266666667,162,16,0.098765432,0,not looking at any late summer data,0.327358934,0.245555556,0.195555556,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. ylvaticus,29,29,0.034482759,1,0.551724138,16,232,63,0.271551724,24,1,0.041666667,0,not looking at any late summer data,1.204119983,0.247324614,0.033293698,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
